iter	Passed	Remaining
0	4	4123
1	6	3447
2	10	3398
3	13	3442
4	15	3071
5	19	3306
6	24	3408
7	26	3301
8	29	3201
9	32	3191
10	34	3129
11	37	3101
12	40	3073
13	46	3290
14	53	3510
15	58	3570
16	60	3513
17	63	3447
18	66	3409
19	69	3395
20	72	3357
21	76	3387
22	78	3343
23	81	3300
24	83	3259
25	86	3257
26	89	3212
27	91	3176
28	93	3147
29	97	3152
30	99	3122
31	102	3092
32	104	3063
33	108	3081
34	111	3063
35	114	3073
36	116	3022
37	118	3008
38	121	2982
39	122	2942
40	124	2903
41	125	2866
42	128	2850
43	129	2816
44	131	2783
45	132	2751
46	134	2731
47	136	2703
48	137	2675
49	139	2648
50	140	2622
51	143	2607
52	144	2582
53	146	2568
54	148	2547
55	149	2526
56	151	2504
57	152	2483
58	154	2464
59	156	2455
60	158	2436
61	159	2420
62	161	2401
63	164	2401
64	167	2407
65	169	2396
66	170	2380
67	173	2373
68	175	2362
69	177	2357
70	178	2341
71	180	2327
72	182	2312
73	183	2297
74	185	2283
75	188	2288
76	189	2277
77	191	2263
78	193	2250
79	194	2237
80	198	2247
81	199	2236
82	201	2223
83	202	2211
84	204	2199
85	205	2179
86	206	2171
87	208	2162
88	210	2151
89	211	2140
90	213	2130
91	215	2122
92	217	2119
93	218	2109
94	220	2099
95	221	2090
96	223	2084
97	227	2092
98	228	2084
99	230	2075
100	232	2066
101	233	2058
102	235	2049
103	237	2046
104	239	2037
105	240	2029
106	242	2021
107	243	2014
108	245	2005
109	247	2004
110	250	2002
111	252	1999
112	254	1997
113	256	1995
114	258	1990
115	260	1982
116	261	1975
117	263	1967
118	265	1962
119	267	1962
120	269	1955
121	270	1947
122	272	1941
123	275	1946
124	277	1943
125	279	1936
126	280	1930
127	282	1923
128	283	1916
129	285	1910
130	287	1904
131	288	1897
132	290	1891
133	291	1886
134	293	1881
135	295	1875
136	296	1869
137	298	1862
138	299	1857
139	301	1851
140	302	1844
141	304	1838
142	305	1833
143	306	1823
144	308	1819
145	310	1813
146	311	1810
147	313	1804
148	314	1795
149	315	1790
150	318	1788
151	320	1786
152	321	1781
153	323	1776
154	325	1771
155	326	1766
156	328	1761
157	330	1758
158	331	1754
159	333	1749
160	335	1747
161	337	1743
162	338	1738
163	340	1737
164	342	1733
165	344	1731
166	346	1729
167	348	1728
168	351	1726
169	353	1725
170	355	1724
171	357	1719
172	358	1714
173	360	1711
174	362	1707
175	363	1703
176	365	1698
177	366	1693
178	367	1686
179	370	1686
180	371	1681
181	373	1677
182	374	1673
183	376	1668
184	377	1664
185	381	1667
186	383	1667
187	386	1667
188	388	1665
189	389	1662
190	391	1658
191	393	1653
192	394	1650
193	396	1645
194	397	1641
195	399	1639
196	401	1635
197	402	1631
198	404	1627
199	406	1624
200	407	1620
201	409	1619
202	411	1615
203	412	1611
204	414	1608
205	416	1604
206	417	1601
207	421	1603
208	423	1601
209	425	1601
210	427	1599
211	430	1598
212	432	1596
213	434	1595
214	437	1596
215	439	1594
216	441	1592
217	443	1591
218	445	1589
219	448	1589
220	450	1587
221	452	1585
222	454	1583
223	457	1585
224	459	1584
225	462	1582
226	464	1580
227	466	1579
228	469	1580
229	471	1578
230	473	1576
231	475	1575
232	479	1577
233	481	1575
234	483	1574
235	485	1570
236	486	1566
237	489	1565
238	490	1562
239	492	1558
240	494	1558
241	496	1556
242	500	1558
243	501	1554
244	503	1551
245	504	1547
246	507	1545
247	508	1542
248	510	1539
249	511	1535
250	513	1531
251	515	1530
252	517	1529
253	519	1526
254	521	1522
255	522	1518
256	524	1515
257	525	1512
258	527	1510
259	529	1506
260	530	1502
261	533	1502
262	535	1500
263	538	1501
264	540	1498
265	542	1496
266	543	1492
267	545	1489
268	548	1489
269	550	1487
270	552	1486
271	554	1485
272	557	1484
273	559	1481
274	560	1478
275	562	1475
276	564	1472
277	565	1468
278	568	1467
279	570	1465
280	571	1462
281	573	1459
282	574	1456
283	576	1452
284	578	1450
285	579	1446
286	581	1443
287	582	1440
288	584	1437
289	586	1436
290	588	1433
291	589	1429
292	591	1426
293	592	1423
294	594	1420
295	597	1420
296	598	1417
297	600	1413
298	601	1410
299	603	1407
300	606	1407
301	608	1406
302	610	1403
303	611	1400
304	613	1397
305	614	1394
306	617	1393
307	618	1390
308	620	1387
309	622	1384
310	623	1381
311	625	1379
312	629	1381
313	633	1384
314	639	1390
315	644	1396
316	647	1394
317	650	1395
318	654	1396
319	656	1395
320	659	1394
321	662	1394
322	664	1392
323	666	1390
324	668	1388
325	671	1388
326	673	1387
327	676	1385
328	678	1383
329	680	1382
330	682	1379
331	684	1378
332	687	1376
333	689	1375
334	692	1374
335	694	1372
336	698	1373
337	700	1372
338	702	1370
339	704	1368
340	707	1367
341	709	1365
342	711	1363
343	713	1361
344	716	1361
345	720	1361
346	723	1360
347	725	1359
348	728	1358
349	730	1356
350	732	1354
351	734	1352
352	737	1352
353	740	1350
354	742	1348
355	745	1347
356	747	1346
357	749	1344
358	752	1344
359	754	1342
360	757	1340
361	760	1339
362	763	1340
363	766	1340
364	771	1341
365	773	1340
366	776	1338
367	778	1336
368	782	1337
369	784	1335
370	786	1334
371	789	1332
372	791	1330
373	794	1329
374	796	1327
375	799	1327
376	802	1325
377	804	1323
378	807	1322
379	810	1322
380	813	1321
381	815	1319
382	818	1318
383	820	1316
384	823	1315
385	826	1314
386	829	1313
387	831	1311
388	833	1309
389	836	1307
390	839	1307
391	841	1305
392	844	1304
393	850	1307
394	853	1307
395	856	1305
396	860	1306
397	863	1306
398	867	1306
399	871	1307
400	874	1306
401	876	1304
402	879	1302
403	881	1300
404	887	1303
405	892	1305
406	895	1304
407	898	1303
408	902	1303
409	905	1303
410	908	1302
411	911	1301
412	915	1300
413	918	1299
414	921	1298
415	924	1297
416	930	1301
417	933	1300
418	937	1299
419	940	1298
420	943	1297
421	949	1299
422	952	1298
423	955	1297
424	962	1302
425	967	1303
426	971	1304
427	975	1303
428	978	1302
429	983	1303
430	991	1308
431	996	1310
432	1003	1313
433	1008	1314
434	1012	1315
435	1016	1315
436	1019	1313
437	1022	1311
438	1025	1310
439	1028	1309
440	1032	1309
441	1035	1307
442	1038	1305
443	1041	1304
444	1044	1302
445	1049	1303
446	1054	1304
447	1057	1302
448	1059	1300
449	1061	1297
450	1064	1295
451	1066	1292
452	1068	1290
453	1070	1287
454	1076	1289
455	1078	1287
456	1081	1284
457	1085	1284
458	1087	1282
459	1090	1279
460	1094	1279
461	1096	1277
462	1099	1274
463	1101	1272
464	1104	1271
465	1106	1268
466	1108	1264
467	1109	1261
468	1111	1258
469	1114	1256
470	1116	1253
471	1117	1250
472	1119	1247
473	1120	1243
474	1123	1242
475	1125	1238
476	1126	1235
477	1128	1232
478	1129	1229
479	1132	1226
480	1135	1224
481	1136	1221
482	1138	1218
483	1139	1215
484	1141	1212
485	1143	1208
486	1144	1205
487	1146	1202
488	1147	1199
489	1150	1197
490	1151	1193
491	1154	1191
492	1155	1188
493	1157	1185
494	1159	1182
495	1160	1179
496	1162	1176
497	1164	1173
498	1166	1171
499	1168	1168
500	1170	1165
501	1172	1162
502	1173	1159
503	1175	1156
504	1177	1153
505	1178	1150
506	1180	1147
507	1182	1145
508	1184	1142
509	1185	1139
510	1187	1136
511	1188	1133
512	1190	1129
513	1192	1127
514	1194	1124
515	1196	1121
516	1197	1118
517	1199	1115
518	1200	1112
519	1202	1110
520	1204	1107
521	1205	1104
522	1207	1101
523	1209	1098
524	1210	1095
525	1212	1092
526	1214	1089
527	1215	1086
528	1217	1083
529	1218	1080
530	1221	1078
531	1222	1075
532	1224	1072
533	1225	1069
534	1227	1066
535	1228	1063
536	1231	1061
537	1232	1058
538	1234	1055
539	1235	1052
540	1237	1050
541	1239	1047
542	1241	1044
543	1242	1041
544	1244	1038
545	1246	1036
546	1247	1033
547	1250	1031
548	1251	1028
549	1253	1025
550	1255	1022
551	1256	1019
552	1258	1017
553	1260	1014
554	1261	1011
555	1263	1009
556	1266	1006
557	1268	1004
558	1271	1002
559	1274	1001
560	1283	1004
561	1286	1002
562	1288	1000
563	1290	997
564	1293	996
565	1296	993
566	1298	991
567	1300	988
568	1303	987
569	1305	984
570	1308	982
571	1310	980
572	1314	979
573	1317	977
574	1319	975
575	1322	973
576	1325	971
577	1327	969
578	1330	967
579	1333	965
580	1336	963
581	1339	962
582	1343	960
583	1345	958
584	1348	956
585	1352	955
586	1355	953
587	1358	951
588	1363	951
589	1368	950
590	1372	949
591	1376	948
592	1381	948
593	1384	946
594	1388	944
595	1391	943
596	1395	942
597	1400	941
598	1403	939
599	1406	937
600	1410	936
601	1413	934
602	1417	933
603	1421	931
604	1424	929
605	1427	928
606	1430	926
607	1433	924
608	1436	922
609	1439	920
610	1442	918
611	1445	916
612	1449	914
613	1452	912
614	1454	910
615	1458	908
616	1460	906
617	1463	904
618	1466	902
619	1469	900
620	1472	898
621	1476	897
622	1479	895
623	1482	893
624	1485	891
625	1489	889
626	1492	887
627	1495	886
628	1499	884
629	1503	883
630	1511	884
631	1518	884
632	1523	883
633	1526	881
634	1529	879
635	1531	876
636	1534	874
637	1536	871
638	1538	869
639	1540	866
640	1542	864
641	1544	861
642	1547	858
643	1549	856
644	1552	854
645	1554	851
646	1556	849
647	1558	846
648	1560	844
649	1563	841
650	1565	839
651	1567	836
652	1569	834
653	1572	832
654	1574	829
655	1577	827
656	1579	824
657	1582	822
658	1584	819
659	1586	817
660	1588	814
661	1591	812
662	1594	810
663	1596	808
664	1599	805
665	1603	803
666	1605	801
667	1607	798
668	1609	796
669	1612	794
670	1615	792
671	1617	789
672	1620	787
673	1622	784
674	1623	781
675	1625	779
676	1627	776
677	1628	773
678	1630	770
679	1632	768
680	1633	765
681	1637	763
682	1639	760
683	1641	758
684	1643	755
685	1645	753
686	1646	750
687	1648	747
688	1649	744
689	1651	741
690	1652	739
691	1655	736
692	1657	734
693	1658	731
694	1660	728
695	1661	725
696	1663	723
697	1665	720
698	1667	718
699	1669	715
700	1670	712
701	1672	709
702	1673	707
703	1675	704
704	1677	701
705	1678	699
706	1680	696
707	1681	693
708	1684	691
709	1685	688
710	1687	685
711	1688	683
712	1690	680
713	1692	677
714	1694	675
715	1696	672
716	1697	670
717	1699	667
718	1700	664
719	1702	662
720	1703	659
721	1705	656
722	1707	654
723	1708	651
724	1710	648
725	1712	646
726	1713	643
727	1715	640
728	1717	638
729	1719	635
730	1720	633
731	1722	630
732	1724	628
733	1727	625
734	1728	623
735	1730	620
736	1732	618
737	1734	615
738	1735	613
739	1737	610
740	1739	607
741	1740	605
742	1742	602
743	1744	600
744	1747	597
745	1749	595
746	1751	593
747	1753	590
748	1754	588
749	1756	585
750	1757	582
751	1759	580
752	1762	577
753	1763	575
754	1764	572
755	1766	570
756	1768	567
757	1769	564
758	1772	562
759	1774	560
760	1775	557
761	1777	555
762	1778	552
763	1780	550
764	1782	547
765	1783	544
766	1785	542
767	1786	539
768	1789	537
769	1791	535
770	1793	532
771	1794	530
772	1796	527
773	1798	525
774	1799	522
775	1801	520
776	1803	517
777	1804	515
778	1806	512
779	1808	510
780	1811	508
781	1814	505
782	1816	503
783	1818	501
784	1821	498
785	1823	496
786	1826	494
787	1828	491
788	1830	489
789	1832	487
790	1835	484
791	1837	482
792	1839	480
793	1841	477
