iter	Passed	Remaining
794	1844	475
795	1846	473
796	1848	470
797	1852	468
798	1855	466
799	1859	464
800	1863	462
801	1866	460
802	1868	458
803	1870	456
804	1874	454
805	1876	451
806	1878	449
807	1881	446
808	1884	444
809	1886	442
810	1888	440
811	1890	437
812	1893	435
813	1895	433
814	1897	430
815	1900	428
816	1902	426
817	1904	423
818	1907	421
819	1909	419
820	1911	416
821	1915	414
822	1917	412
823	1920	410
824	1922	407
825	1925	405
826	1927	403
827	1929	400
828	1932	398
829	1935	396
830	1937	394
831	1940	391
832	1942	389
833	1944	387
834	1945	384
835	1947	382
836	1949	379
837	1950	377
838	1952	374
839	1954	372
840	1956	369
841	1958	367
842	1960	365
843	1962	362
844	1964	360
845	1966	357
846	1967	355
847	1969	353
848	1971	350
849	1975	348
850	1978	346
851	1979	343
852	1981	341
853	1982	339
854	1984	336
855	1986	334
856	1988	331
857	1989	329
858	1991	326
859	1994	324
860	1995	322
861	1997	319
862	1999	317
863	2000	314
864	2002	312
865	2003	310
866	2005	307
867	2007	305
868	2008	302
869	2010	300
870	2012	298
871	2013	295
872	2015	293
873	2017	290
874	2019	288
875	2020	286
876	2022	283
877	2024	281
878	2025	278
879	2027	276
880	2029	274
881	2030	271
882	2032	269
883	2034	266
884	2036	264
885	2038	262
886	2039	259
887	2041	257
888	2043	255
889	2045	252
890	2047	250
891	2048	248
892	2050	245
893	2052	243
894	2054	241
895	2056	238
896	2058	236
897	2059	233
898	2061	231
899	2063	229
900	2064	226
901	2066	224
902	2067	222
903	2069	219
904	2071	217
905	2073	215
906	2074	212
907	2076	210
908	2077	208
909	2080	205
910	2082	203
911	2084	201
912	2087	198
913	2088	196
914	2090	194
915	2091	191
916	2093	189
917	2095	187
918	2096	184
919	2098	182
920	2100	180
921	2101	177
922	2103	175
923	2104	173
924	2107	170
925	2109	168
926	2111	166
927	2112	163
928	2114	161
929	2116	159
930	2117	156
931	2119	154
932	2120	152
933	2122	149
934	2124	147
935	2126	145
936	2127	143
937	2129	140
938	2131	138
939	2134	136
940	2135	133
941	2137	131
942	2138	129
943	2140	126
944	2141	124
945	2143	122
946	2145	120
947	2147	117
948	2148	115
949	2150	113
950	2152	110
951	2153	108
952	2155	106
953	2157	104
954	2159	101
955	2160	99
956	2162	97
957	2163	94
958	2165	92
959	2168	90
960	2170	88
961	2172	85
962	2173	83
963	2175	81
964	2178	78
965	2179	76
966	2181	74
967	2182	72
968	2184	69
969	2185	67
970	2187	65
971	2189	63
972	2192	60
973	2194	58
974	2197	56
975	2199	54
976	2200	51
977	2202	49
978	2203	47
979	2206	45
980	2207	42
981	2209	40
982	2210	38
983	2213	35
984	2214	33
985	2216	31
986	2218	29
987	2219	26
988	2221	24
989	2222	22
990	2224	20
991	2226	17
992	2228	15
993	2229	13
994	2232	11
995	2233	8
996	2235	6
997	2236	4
998	2238	2
999	2240	0
