iter	RMSE
0	203.6562013
1	199.2563446
2	194.1992439
3	189.4269158
4	184.936049
5	180.5014307
6	176.1081754
7	171.9216487
8	167.9093193
9	164.0580486
10	160.549481
11	157.1444091
12	153.7881392
13	150.6910258
14	147.6693477
15	144.9638615
16	142.3503918
17	140.0269107
18	137.5731121
19	135.2247959
20	133.063337
21	130.9197476
22	128.8795935
23	127.2059273
24	125.3783448
25	123.556722
26	122.0005989
27	120.4232701
28	118.8677255
29	117.2951239
30	115.8692876
31	114.6757751
32	113.3620267
33	112.1142486
34	110.9298648
35	109.8511684
36	108.7269617
37	107.8038821
38	106.8396315
39	105.9646557
40	105.0902547
41	104.2684868
42	103.5050502
43	102.7342719
44	102.04542
45	101.3170485
46	100.5968268
47	99.99034795
48	99.3782948
49	98.80840151
50	98.20110195
51	97.78796642
52	97.2644981
53	96.73473244
54	96.26032629
55	95.7891116
56	95.39243995
57	94.84953584
58	94.48617667
59	94.07168545
60	93.70238576
61	93.28593661
62	92.83669003
63	92.55031214
64	92.20053775
65	91.90405364
66	91.58667103
67	91.29655754
68	91.04523869
69	90.66525961
70	90.30813015
71	89.99136736
72	89.72590606
73	89.44782113
74	89.13161422
75	88.87892087
76	88.63562028
77	88.37884989
78	88.1539145
79	87.90900356
80	87.68277816
81	87.40996544
82	87.19130907
83	86.91927318
84	86.61986926
85	86.45976186
86	86.31783699
87	86.1191376
88	85.95121949
89	85.81008209
90	85.55290887
91	85.41637146
92	85.20009987
93	85.01560869
94	84.87249004
95	84.63838759
96	84.39009716
97	84.18950032
98	84.04164627
99	83.92283079
100	83.78330792
101	83.54206058
102	83.41741877
103	83.32544598
104	83.21637897
105	83.06928963
106	82.98650378
107	82.86887852
108	82.71383549
109	82.62896794
110	82.49461936
111	82.342728
112	82.27720237
113	82.14905268
114	81.96187104
115	81.81473079
116	81.70084733
117	81.48041005
118	81.31023455
119	81.1972614
120	81.10044339
121	80.98896421
122	80.83068905
123	80.71216726
124	80.5805624
125	80.47253326
126	80.29193676
127	80.1944349
128	80.06107455
129	79.90129474
130	79.83167769
131	79.73010105
132	79.62592656
133	79.51154881
134	79.44319293
135	79.32346992
136	79.2490353
137	79.14883716
138	79.02533256
139	78.89022572
140	78.77959487
141	78.66191943
142	78.57082712
143	78.47458941
144	78.37756511
145	78.25452227
146	78.17114745
147	78.13652601
148	78.03841904
149	77.94739052
150	77.81550846
151	77.73872664
152	77.64456464
153	77.57083172
154	77.50579126
155	77.39717149
156	77.32998701
157	77.24007066
158	77.15424946
159	77.01145807
160	76.93358153
161	76.84256715
162	76.81310909
163	76.7349476
164	76.62970528
165	76.57470696
166	76.54606346
167	76.4052998
168	76.28454917
169	76.19586167
170	76.14476764
171	76.12383506
172	76.09257495
173	76.05074782
174	75.98522359
175	75.94469661
176	75.91041472
177	75.86249313
178	75.75902926
179	75.69394772
180	75.65737882
181	75.54121172
182	75.47671071
183	75.36535216
184	75.29389721
185	75.21384635
186	75.11966545
187	75.02217823
188	74.8876615
189	74.84449908
190	74.75550069
191	74.71582324
192	74.66995062
193	74.61634498
194	74.5895134
195	74.49101126
196	74.4093253
197	74.3879191
198	74.36635534
199	74.31209905
200	74.25672945
201	74.2246951
202	74.16911516
203	74.14149776
204	74.05679623
205	74.02468926
206	73.98908772
207	73.94645935
208	73.89615086
209	73.84314536
210	73.77159042
211	73.74547073
212	73.71462287
213	73.66146417
214	73.62472272
215	73.54838362
216	73.49979134
217	73.47155247
218	73.42927317
219	73.39928327
220	73.36867121
221	73.26265805
222	73.20300584
223	73.16919595
224	73.08941902
225	73.07024977
226	73.05459335
227	73.00626898
228	72.93016788
229	72.90756035
230	72.88075888
231	72.86528397
232	72.78477671
233	72.67501349
234	72.60275003
235	72.56961554
236	72.56098154
237	72.48462509
238	72.46687587
239	72.44141716
240	72.41935173
241	72.41032626
242	72.37780733
243	72.33533786
244	72.31658267
245	72.28256024
246	72.26556363
247	72.23808465
248	72.22768171
249	72.2204788
250	72.20473386
251	72.15859801
252	72.14335004
253	72.12009458
254	72.09736472
255	72.08472212
256	72.07608988
257	72.06697505
258	72.048683
259	72.02284398
260	72.01202628
261	71.97649444
262	71.93072649
263	71.81158364
264	71.7525452
265	71.7280427
266	71.68974179
267	71.63545532
268	71.57019088
269	71.53530371
270	71.52601969
271	71.51808331
272	71.47699191
273	71.41722171
274	71.3625683
275	71.31740087
276	71.30482886
277	71.19156888
278	71.1850064
279	71.14433053
280	71.10792918
281	70.97910327
282	70.97091954
283	70.96280688
284	70.93927406
285	70.82192985
286	70.74999404
287	70.67381114
288	70.58753906
289	70.50678359
290	70.47023566
291	70.37239442
292	70.31784512
293	70.26761123
294	70.25528358
295	70.20495813
296	70.12298547
297	70.01287045
298	70.00223199
299	69.8881088
300	69.81648487
301	69.74027478
302	69.66681858
303	69.57157616
304	69.56287356
305	69.49631183
306	69.43011349
307	69.39043383
308	69.31407763
309	69.25040052
310	69.15590772
311	69.07705532
312	69.06722815
313	68.99540595
